id,course,question
0,ASU Online,Can I transfer ASU Online credits to other universities?
0,ASU Online,How does ASU Online credit transfer work?
0,ASU Online,Are ASU Online courses treated differently from campus courses?
0,ASU Online,Will the receiving institution accept my ASU Online credits?
0,ASU Online,Do ASU transcripts show online or on-campus course distinction?
1,ASU Online,"Can I pursue my degree on a part-time basis, and are there specific credit limits per semester?"
1,ASU Online,What are the implications of enrolling part-time on my financial aid and scholarship eligibility?
1,ASU Online,"If I want to study part-time, how might that affect the duration of my degree completion?"
1,ASU Online,Are there any loans or grants that require a specific number of credits to receive assistance?
1,ASU Online,Who can I contact for more details about financial aid options related to part-time enrollment?
2,ASU Online,What materials are necessary to complete the ASU Online admission process?
2,ASU Online,Is an application fee required for ASU Online admission?
2,ASU Online,Do I need to submit my high school transcripts if I haven't earned an associate degree?
2,ASU Online,Where should I send my transcripts for ASU Online admission?
2,ASU Online,What is the address for submitting transcripts to ASU Online?
3,ASU Online,Can I access financial aid for my online courses at ASU?
3,ASU Online,What options are available for financial aid for ASU Online students?
3,ASU Online,How can I connect with a financial aid counselor for ASU Online?
3,ASU Online,Are there specific eligibility requirements for financial aid at ASU Online?
3,ASU Online,Where can I find more information about financial aid for ASU Online classes?
4,ASU Online,Are ASU Online students allowed to join graduation ceremonies in person?
4,ASU Online,What opportunities are available for attending graduation at ASU?
4,ASU Online,Where can I find details about graduation ceremonies for ASU Online?
4,ASU Online,Can I participate in the university's graduation events if I study online?
4,ASU Online,Is there any information about attending the graduation ceremony at ASU for online students?
5,ASU Online,Is it possible to enroll in ASU Online if I live outside the United States?
5,ASU Online,Can I study online at ASU while residing in a different state?
5,ASU Online,Are there any programs that require physical attendance for labs?
5,ASU Online,What should I consider regarding my degree requirements if I study from another location?
5,ASU Online,Can I fulfill in-person lab requirements at other accredited institutions?
6,ASU Online,Are the online courses at ASU taught by the same faculty as on-campus classes?
6,ASU Online,Is the quality of ASU Online programs similar to that of traditional on-campus programs?
6,ASU Online,Do ASU Online courses maintain the same level of academic rigor as on-campus courses?
6,ASU Online,Who teaches the courses for ASU Online programs?
6,ASU Online,Can I expect the same content quality in ASU Online as I would in a physical classroom?
7,ASU Online,Can I obtain a student ID card if I am an online student?
