answer_llm,answer_orig,document,question,course
"Yes, you can transfer ASU Online credits to other universities. ASU Online credits are treated the same as credits earned on-campus, and there is no distinction on transcripts. However, the receiving institution will determine the transfer eligibility and how the credits apply to their specific program.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Can I transfer ASU Online credits to other universities?,ASU Online
"ASU Online accepts a maximum of 64 college credits for undergraduate degrees, with some exceptions for special programs. For graduate programs, up to 12 graduate-level credit hours may be accepted at the discretion of the program. The transferability of specific courses toward an ASU Online degree depends on the requirements of the college or school you are enrolled in. It's recommended to work with an enrollment coach or academic advisor for a pre-evaluation of your credits and to understand how they may transfer to ASU Online.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,How does ASU Online credit transfer work?,ASU Online
"ASU Online courses are not treated differently from campus courses in terms of quality and rigor. The same prestigious faculty who teach on-campus classes also teach ASU Online courses, ensuring that the content is equivalent to that of on-campus offerings. Additionally, credits earned through ASU Online are treated the same as those earned on-campus, with transcripts not distinguishing between the two. However, students enrolled in ASU Online must take all their courses online, whereas on-campus students have the option to enroll in certain online courses.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Are ASU Online courses treated differently from campus courses?,ASU Online
"The receiving institution will determine whether they accept your ASU Online credits. ASU Online credits are treated the same as credits earned on campus, and transcripts do not differentiate between online or on-campus courses.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Will the receiving institution accept my ASU Online credits?,ASU Online
"No, ASU transcripts do not distinguish between online and on-campus courses. The credits earned through ASU Online are considered equivalent to those earned on campus, and transcripts do not show any differentiation between the two.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Do ASU transcripts show online or on-campus course distinction?,ASU Online
"Yes, you can pursue your degree on a part-time basis, as all degree and certificate programs can be taken part-time to accommodate your schedule. There is no minimum number of credits you need to take per semester. However, it's important to note that many scholarships and grants require full-time enrollment, which is defined as 12 credit hours per semester for undergraduate students and 9 credits for graduate students. Additionally, you are allowed to enroll in up to 18 credit hours for spring and fall semesters, and 7 credits for each summer session.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,"Can I pursue my degree on a part-time basis, and are there specific credit limits per semester?",ASU Online
"Enrolling part-time can have significant implications for your financial aid and scholarship eligibility. While ASU Online allows for part-time enrollment without a minimum credit requirement, many scholarships and grants require full-time enrollment to qualify. For undergraduate students, this typically means enrolling in at least 12 credit hours per semester, while for graduate students, the requirement is at least 9 credits. Additionally, some financial aid options may be reduced if you are not enrolled full-time, and some grants may decrease in amount based on your part-time status. Therefore, it's important to consult with a financial aid counselor for detailed information on how part-time enrollment may affect your specific financial aid and scholarship opportunities.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,What are the implications of enrolling part-time on my financial aid and scholarship eligibility?,ASU Online
"If you choose to study part-time, there is no minimum number of credits you need to take per semester, which allows for flexibility around your work schedule and other commitments. However, studying part-time may increase the overall duration of your degree completion, as it often takes longer to finish your degree compared to a full-time course load. Typically, a bachelor's degree is designed to be completed in about four years with a full-time load of 12-15 credit hours per semester. To understand how a part-time schedule might specifically impact your degree completion timeline, it's advisable to contact your academic advisor. They can provide tailored information based on your situation and course load.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,"If I want to study part-time, how might that affect the duration of my degree completion?",ASU Online
"Yes, many scholarships and grants require specific credit enrollments to receive assistance. For undergraduate students, full-time enrollment is typically defined as 12 credit hours per semester, while graduate students usually need to be enrolled in at least 9 credit hours. Additionally, some loans and grants require at least half-time enrollment, and certain grants may decrease in amount if a student is not enrolled full-time.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,Are there any loans or grants that require a specific number of credits to receive assistance?,ASU Online
"For more details about financial aid options related to part-time enrollment, you can contact a financial aid counselor at 855-278-5080.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,Who can I contact for more details about financial aid options related to part-time enrollment?,ASU Online
"To complete the ASU Online admission process, you need to submit an undergraduate application and pay the application fee. Additionally, ASU must receive all required transcripts from every institution you've attended. If you haven't completed an associate degree, you will also need to have your official high school transcripts sent to ASU.","Your application is complete once you pay the application fee and ASU receives all of your required transcripts. If you haven't completed an associate degree, you'll need to have your official high school transcripts sent to us. Please have you transcripts sent to:Admission ServicesArizona State UniversityPO Box 870112Tempe, AZ 85287-0112",2,What materials are necessary to complete the ASU Online admission process?,ASU Online
"Yes, an application fee of $70 is required for ASU Online admission. Your application is complete once you pay this fee and ASU receives all required transcripts.","Your application is complete once you pay the application fee and ASU receives all of your required transcripts. If you haven't completed an associate degree, you'll need to have your official high school transcripts sent to us. Please have you transcripts sent to:Admission ServicesArizona State UniversityPO Box 870112Tempe, AZ 85287-0112",2,Is an application fee required for ASU Online admission?,ASU Online
"Yes, you need to submit your high school transcripts if you haven't earned an associate degree.","Your application is complete once you pay the application fee and ASU receives all of your required transcripts. If you haven't completed an associate degree, you'll need to have your official high school transcripts sent to us. Please have you transcripts sent to:Admission ServicesArizona State UniversityPO Box 870112Tempe, AZ 85287-0112",2,Do I need to submit my high school transcripts if I haven't earned an associate degree?,ASU Online
"You should send your transcripts to the following address:

Admission Services  
Arizona State University  
PO Box 870112  
Tempe, AZ 85287-0112  

Make sure it includes all required transcripts for your application to be complete.","Your application is complete once you pay the application fee and ASU receives all of your required transcripts. If you haven't completed an associate degree, you'll need to have your official high school transcripts sent to us. Please have you transcripts sent to:Admission ServicesArizona State UniversityPO Box 870112Tempe, AZ 85287-0112",2,Where should I send my transcripts for ASU Online admission?,ASU Online
"The address for submitting transcripts to ASU Online is:

Admission Services  
Arizona State University  
PO Box 870112  
Tempe, AZ 85287-0112","Your application is complete once you pay the application fee and ASU receives all of your required transcripts. If you haven't completed an associate degree, you'll need to have your official high school transcripts sent to us. Please have you transcripts sent to:Admission ServicesArizona State UniversityPO Box 870112Tempe, AZ 85287-0112",2,What is the address for submitting transcripts to ASU Online?,ASU Online
