answer_llm,answer_orig,document,question,course
"ASU Online credits are the same as those earned at the campus and transcripts do not differentiate between online or on-campus courses. However, the transferability of these credits to other universities is determined by the receiving institution, which decides on the eligibility and applicability of the transfer credits to a specific program.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Can I transfer ASU Online credits to other universities?,ASU Online
"ASU Online allows you to transfer a maximum of 64 college credits for undergraduate degrees, with some exceptions for special programs. For graduate programs, up to 12 graduate-level credit hours may be accepted at the discretion of the program, provided they meet certain conditions. The transfer eligibility of specific courses depends on the requirements of the college or school in which your program is based. You can consult with an enrollment coach or academic advisor to get a pre-evaluation of your credits and determine how they may transfer to ASU Online.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,How does ASU Online credit transfer work?,ASU Online
"ASU Online courses are treated the same as campus courses in terms of quality and faculty. The same prestigious faculty and instructors teach both online and on-campus courses, ensuring that the rigor and quality of the content are the same. Additionally, ASU Online credits are no different from those earned at the campus, and transcripts do not distinguish between online or on-campus courses.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Are ASU Online courses treated differently from campus courses?,ASU Online
"The receiving institution determines whether ASU Online credits will be accepted. ASU Online credits are the same as those earned on campus, and transcripts do not differentiate between online or on-campus courses. However, ultimately, it's up to the receiving institution to decide on transfer eligibility and how the credits may apply to a specific program.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Will the receiving institution accept my ASU Online credits?,ASU Online
"No, ASU transcripts do not show a distinction between online or on-campus courses.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Do ASU transcripts show online or on-campus course distinction?,ASU Online
"Yes, you can pursue your degree on a part-time basis as all degrees and certificate programs can accommodate part-time enrollment to cater to your work, family needs, or other circumstances. There is no minimum number of credits required per semester. However, it's important to note that many scholarships and grants require full-time enrollment, which is 12 credit hours per semester for undergraduate students and 9 credits for graduate students. Some financial aid options may require at least half-time enrollment. For specific details on how a part-time schedule might affect your financial aid or the duration of your program, it is advisable to consult a financial aid counselor or your academic advisor.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,"Can I pursue my degree on a part-time basis, and are there specific credit limits per semester?",ASU Online
"Enrolling part-time can affect your financial aid and scholarship eligibility. Many scholarships and grants require full-time enrollment, which is defined as 12 credit hours per semester for undergraduate students or 9 credits for graduate students. Some loans and grants may require at least half-time enrollment, and certain grants decrease in amount if you are not enrolled full-time. It is advisable to contact a financial aid counselor at 855-278-5080 to discuss how your specific scholarships, grants, or loans may be impacted by part-time enrollment.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,What are the implications of enrolling part-time on my financial aid and scholarship eligibility?,ASU Online
"If you choose to study part-time, it may extend the duration it takes to complete your degree. While there's no minimum number of credits required per semester, completing fewer credit hours each term typically means it will take longer to fulfill all the requirements for your program. The exact impact on your degree completion time will depend on your specific course load and how many credits you take each semester. It's recommended to contact your academic advisor for a more detailed assessment of how a part-time schedule can affect your expected graduation timeline.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,"If I want to study part-time, how might that affect the duration of my degree completion?",ASU Online
"Yes, there are loans and grants that require a specific number of credits to receive assistance. Many scholarships and grants require full-time enrollment, which is defined as 12 credit hours per semester for undergraduate students or 9 credits for graduate students. Other loans and grants require at least half-time enrollment, and some grants may decrease in amount if you are not enrolled full time. For specific details regarding your financial aid, it is advisable to contact a financial aid counselor.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,Are there any loans or grants that require a specific number of credits to receive assistance?,ASU Online
"For more details about financial aid options related to part-time enrollment, you can contact a financial aid counselor at 855-278-5080.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,Who can I contact for more details about financial aid options related to part-time enrollment?,ASU Online
