answer_llm,answer_orig,document,question,course
"Yes, the credits earned through ASU Online are the same as those from on-campus classes. Transcripts do not distinguish between online or on-campus courses, ensuring that ASU Online credits are no different from those earned at ASU campuses.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Are the credits earned through ASU Online the same as those from on-campus classes?,ASU Online
"Other four-year universities view ASU Online credits the same way as they view credits earned at ASU's campuses, as transcripts do not distinguish between online or on-campus courses. However, it is ultimately up to the receiving institution to determine transfer eligibility and how the transfer credits may apply to a specific program of interest.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,How do other four-year universities view ASU Online credits when considering transfers?,ASU Online
"No, transcripts do not distinguish between online or on-campus courses at ASU.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Do transcripts show whether courses were taken online or on-campus at ASU?,ASU Online
The receiving institution decides if ASU Online credits can be transferred to that institution. It is up to them to determine transfer eligibility and how the credits may apply to a specific program of interest.,"ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Who decides if ASU Online credits can be transferred to a different institution?,ASU Online
"Yes, you can find out how your ASU Online credits apply to a specific program when transferring. You should work with an enrollment coach or an academic advisor, as they can provide a pre-evaluation of your credits and show how they may apply to a degree program at Arizona State University. Keep in mind that the receiving institution determines transfer eligibility and how the credits will apply to a specific program.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Can I find out how my ASU Online credits apply to a specific program when transferring?,ASU Online
"Yes, it is possible to complete your program on a part-time basis. There is no minimum number of credits you need to take per semester, allowing you to accommodate your work schedule, family needs, or other circumstances. However, be aware that many scholarships and grants require full-time enrollment, so it's advisable to check with a financial aid counselor about the implications for your specific financial aid situation. You can also contact your academic advisor for guidance on how a part-time schedule might affect your time to complete your degree or certificate program.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,Is it possible to complete my program on a part-time basis?,ASU Online
"There is no minimum number of credits you need to take per semester. All degrees and certificate programs can be pursued on a part-time basis. However, it's important to note that many scholarships and grants require full-time enrollment, which is defined as 12 credit hours per semester for undergraduate students and 9 credit hours for graduate students.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,What is the minimum number of credit hours required each semester?,ASU Online
"Yes, there are financial aid implications for enrolling part-time. While ASU Online students may be eligible for financial aid, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Additionally, some loans and grants require at least half-time enrollment, and certain grants may decrease in amount if you are not enrolled full-time. It is recommended to contact a financial aid counselor for more information regarding your specific situation.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,Are there any financial aid implications for enrolling part-time?,ASU Online
"To find out more about maintaining your financial aid while studying part-time, you can contact a financial aid counselor at 855-278-5080 for specific information regarding your scholarships, grants, or loans. It's important to note that many scholarships and grants require full-time enrollment, while some loans and grants may require at least half-time enrollment. Additionally, you can visit the Financial Aid page on ASU's website for more details.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,How can I find out more about maintaining my financial aid while studying part-time?,ASU Online
You can contact your academic advisor for assistance with your academic schedule and program duration. They can help you understand how a part-time schedule might impact the time it takes to complete your degree or certificate program.,"There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,Who can I contact for assistance with my academic schedule and program duration?,ASU Online
