answer_llm,answer_orig,document,question,course
"Yes, the credits earned through ASU Online are the same as those from on-campus classes. ASU Online credits are no different than credits earned at ASU campuses, and transcripts do not distinguish between online or on-campus courses.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Are the credits earned through ASU Online the same as those from on-campus classes?,ASU Online
"ASU Online credits are equivalent to credits earned at ASU campuses, and transcripts do not differentiate between online or on-campus courses. When transferring credits to other four-year universities, it is at the discretion of the receiving institution to determine the transfer eligibility and how those credits may apply to a specific program.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,How do other four-year universities view ASU Online credits when considering transfers?,ASU Online
"No, transcripts from ASU do not show whether courses were taken online or on-campus.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Do transcripts show whether courses were taken online or on-campus at ASU?,ASU Online
The decision of whether ASU Online credits can be transferred to a different institution is made by the receiving institution. They determine the transfer eligibility and how the credits may apply to a specific program of interest.,"ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Who decides if ASU Online credits can be transferred to a different institution?,ASU Online
"When transferring ASU Online credits to a specific program at another institution, it is up to the receiving institution to determine how those credits apply to the program of interest. ASU Online credits are equivalent to credits earned on-campus, and transcripts do not differentiate between the two. Therefore, to understand how your ASU Online credits will apply to a specific program when transferring, you would need to consult with the institution you are transferring to, as they make the final determination on credit transferability and applicability.","ASU Online credits are no different than credits earned at our campuses and transcripts do not distinguish between online or on-campus courses. When transferring credits, it is always up to the receiving institution to determine transfer eligibility and how transfer credits may apply to a specific program of interest.",0,Can I find out how my ASU Online credits apply to a specific program when transferring?,ASU Online
"Yes, it is possible to complete your program on a part-time basis. There is no minimum number of credits required per semester, allowing you to adjust your course load according to your work schedule, family needs, or other circumstances. However, be aware that many scholarships and grants require full-time enrollment, and some financial aid could be affected if you are not enrolled full-time. It's a good idea to contact a financial aid counselor for specific information regarding your scholarships, grants, or loans. Additionally, consulting with your academic advisor can help you understand how a part-time schedule might affect the time needed to complete your degree or certificate program.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,Is it possible to complete my program on a part-time basis?,ASU Online
"There is no minimum number of credit hours you need to take per semester. You can choose to study part-time to accommodate your schedule, although many scholarships and grants might require full-time enrollment, which is defined as 12 credit hours per semester for undergraduate students, or 9 credits for graduate students.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,What is the minimum number of credit hours required each semester?,ASU Online
"Enrolling part-time may have financial aid implications. Many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants may require at least half-time enrollment, and some grants may decrease in amount if you are not enrolled full time. It is recommended to contact a financial aid counselor at 855-278-5080 for specific information regarding your scholarships, grants, or loans.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,Are there any financial aid implications for enrolling part-time?,ASU Online
"To find out more about maintaining your financial aid while studying part-time, you can contact a financial aid counselor at ASU by calling 855-278-5080. They can provide specific information regarding your scholarships, grants, or loans. Additionally, you can visit the Financial Aid and Scholarship Services website for more information about different types of federal aid. It's important to note that many scholarships and grants require full-time enrollment, but some loans and grants may be available for part-time students as long as you maintain at least half-time enrollment.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,How can I find out more about maintaining my financial aid while studying part-time?,ASU Online
"For assistance with your academic schedule and program duration, you should contact your academic advisor. They can provide guidance on managing your course load and understanding how part-time or multiple degree courses might impact the time it takes to complete your program.","There is no minimum number of credits you need to take per semester. All of our degrees and certificate programs can be taken part-time to accommodate your work schedule, family needs or other circumstances.However, many scholarships and grants require full-time enrollment (12 credit hours per semester for undergraduate students, or 9 credits for graduate students). Other loans and grants require at least half-time enrollment and some grants will decrease in amount if you are not enrolled full time.You can contact a financial aid counselor at 855-278-5080 for more information regarding your specific scholarships, grants or loans. You can also contact your academic advisor to learn more about how a part-time schedule might impact the time it takes to complete your degree or certificate program.",1,Who can I contact for assistance with my academic schedule and program duration?,ASU Online
